episode,reward,emotion,eta,td_error,sigma_mean
151,16.40,0.300,0.00159,1.005,0.0328,0.0000,0.0000,None
161,27.16,0.300,0.00175,0.848,0.0275,0.0000,0.0000,None
171,62.23,0.933,0.00158,1.071,0.0237,0.0000,0.0506,None
181,120.95,0.966,0.00144,1.305,0.0203,0.0000,0.0140,None
191,116.16,0.980,0.00193,0.635,0.0179,0.0000,0.0000,None
201,148.49,0.980,0.00211,0.441,0.0165,0.0000,0.0000,None
211,16.49,0.300,0.00177,0.751,0.0158,0.0000,0.0148,None
221,12.89,0.300,0.00196,0.820,0.0158,0.0000,0.0000,None
231,14.08,0.300,0.00204,0.686,0.0179,0.0000,0.0000,None
241,128.13,0.916,0.00202,0.778,0.0194,0.0000,0.0645,None
251,15.30,0.300,0.00199,0.771,0.0224,0.0000,0.2140,None
261,123.33,0.980,0.00155,1.611,0.0262,0.0000,0.0424,None
271,29.93,0.560,0.00187,1.098,0.0302,0.0000,0.4085,None
281,131.73,0.980,0.00144,1.548,0.0352,0.0000,0.0000,None
291,113.75,0.980,0.00133,1.813,0.0402,0.0000,0.0288,None
301,18.90,0.328,0.00178,1.225,0.0446,0.0000,0.0284,None
311,17.70,0.300,0.00179,1.334,0.0492,0.0000,0.0000,None
321,18.90,0.300,0.00168,2.072,0.0525,0.0000,0.0000,None
331,27.39,0.668,0.00191,1.499,0.0547,0.0000,0.0666,None
341,28.53,0.535,0.00178,1.869,0.0568,0.0000,0.1011,None
351,22.50,0.300,0.00184,1.987,0.0578,0.0000,0.0415,None
361,21.55,0.507,0.00175,1.882,0.0571,0.0000,0.4730,None
371,56.06,0.980,0.00169,1.934,0.0565,0.0000,0.5824,None
381,18.90,0.425,0.00128,4.151,0.0545,0.0000,0.1249,None
391,22.49,0.300,0.00204,1.398,0.0515,0.0000,0.0000,None
401,22.49,0.300,0.00203,1.467,0.0478,0.0000,0.0000,None
411,34.46,0.300,0.00208,1.238,0.0421,0.0000,0.0000,None
1,30.77,0.454,0.00235,0.933,0.0270,0.0000,0.0537,neutral
11,14.18,0.300,0.00117,0.926,0.0323,0.0000,0.0334,neutral
21,16.80,0.300,0.00113,0.928,0.0325,0.0000,0.0000,None
31,14.00,0.300,0.00114,0.915,0.0583,0.0000,0.0000,None
41,11.20,0.300,0.00111,0.950,0.0381,0.0000,0.0000,None
51,9.33,0.300,0.00120,0.874,0.0466,0.0000,0.0000,None
61,16.80,0.300,0.00115,0.879,0.0476,0.0000,0.0000,None
71,8.96,0.300,0.00251,0.414,0.0591,0.0000,0.0000,None
81,17.42,0.300,0.00266,0.284,0.0585,0.0000,0.0000,None
91,36.63,0.300,0.00277,0.225,0.0554,0.0000,0.0000,None
101,104.02,0.865,0.00230,0.444,0.0535,0.0000,0.2430,None
111,134.12,0.980,0.00211,0.535,0.0492,0.0000,0.0000,None
121,132.92,0.980,0.00165,0.700,0.0464,0.0000,0.0000,None
131,85.01,0.969,0.00174,0.668,0.0413,0.0000,0.0315,None
141,16.75,0.367,0.00245,0.498,0.0370,0.0000,0.5802,None
151,14.10,0.300,0.00252,1.105,0.0326,0.0000,0.0546,None
161,27.43,0.713,0.00249,1.023,0.0285,0.0000,0.0058,None
171,99.39,0.900,0.00260,0.910,0.0240,0.0000,0.0805,None
181,107.76,0.980,0.00273,0.738,0.0203,0.0000,0.0469,None
191,113.76,0.949,0.00267,0.824,0.0189,0.0000,0.0308,None
201,125.74,0.980,0.00248,1.143,0.0159,0.0000,0.0000,None
211,140.11,0.980,0.00220,1.855,0.0165,0.0000,0.0000,None
221,16.40,0.358,0.00220,1.361,0.0163,0.0000,0.0577,None
231,15.30,0.300,0.00253,0.788,0.0185,0.0000,0.0000,None
241,35.63,0.300,0.00210,1.467,0.0194,0.0000,0.0000,None
251,159.27,0.952,0.00205,1.577,0.0224,0.0000,0.0278,None
261,108.95,0.980,0.00200,1.663,0.0264,0.0000,0.0674,None
271,232.32,0.823,0.00180,1.628,0.0303,0.0000,0.1572,None
281,598.77,0.980,0.00200,1.522,0.0357,0.0000,0.0000,None
291,598.77,0.980,0.00251,1.380,0.0398,0.0000,0.0000,None
301,16.76,0.406,0.00228,2.411,0.0438,0.0000,0.5736,None
311,43.11,0.970,0.00245,2.036,0.0485,0.0000,0.0101,None
321,68.21,0.980,0.00228,2.584,0.0522,0.0000,0.1232,None
331,53.89,0.852,0.00224,2.749,0.0547,0.0000,0.1282,None
341,264.65,0.819,0.00204,3.428,0.0565,0.0000,0.1613,None
351,173.63,0.849,0.00177,4.080,0.0585,0.0000,0.0953,None
361,22.75,0.579,0.00190,3.473,0.0579,0.0000,0.4009,None
